xHandle,displayName,tier,cluster,composite_z,totalXeetsExclXeetsgiving,competitiveTournamentCount,avgDifficultyAdjustedPercentile,signalRatioAvg,cryptoCreatorXeets,multiplierBreadth,osFloorCommon,ethSaleVolume,highestSaleCommon,priceTrajectory,saleVelocity30d,ownCardsHeld,deckReachScore,followers
TMoneyy,TMoneyy,Mythic,2,-0.41542450187340463,1563.93436,8,0.8235110807563034,0.45104347751614565,297.953367,3,0.004,0.05610000000000001,0.0022,-0.0005207503624873112,7,2,78.0,17317.0
Aizcalibur,Aiz,Mythic,2,-0.5245854063233037,573.8957660000001,3,0.8285090414865665,0.6472458800603409,425.014469,0,0.00539,0.08093000000000002,0.005,-0.0011816707537993325,12,22,54.2,24430.0
hankisinvesting,Henry,Epic,0,-0.3620022228643083,1327.442072,3,0.9462595482020569,0.43574045692861735,1136.348747,0,0.001,0.03112,0.0021,-0.0005747099325281438,10,1,54.5,7197.0
Rempo1,Rempo,Mythic,2,0.7887662074658515,4043.5915400000004,17,0.8890401038680935,0.6150727513118409,1677.528835,2,0.00489999,0.036377980000000004,0.00144899,-0.000509641932010693,12,3,72.9,10632.0
quan_eth,Quan,Legendary,1,0.440096958476588,3858.1409209999997,8,0.945961258948731,0.652330828221098,1688.22245,1,0.00169999999999,0.0426,0.003,-0.0005177201966314579,7,1,76.2,23622.0
PopPunkOnChain,Pop Punk,Mythic,2,-0.2579161499134302,2257.66212,2,0.9262369094299541,0.5579252665309865,2194.797576,0,0.0033,0.030150000000000003,0.00375,-0.00013746976832293336,5,25,0.3,31106.0
Teacher96_Katie,Teacher96-(Katie),Epic,0,-0.8548589839570899,359.598099,3,0.8145315337925446,0.45124111352574525,158.727207,1,0.01,0.13593099999997998,0.01,0.003947901266205308,11,2,99.2,8940.0
ProofOfTravis,Travis 💡,Mythic,2,1.1383924726797847,9104.352432999998,16,0.8972045261204467,0.6242087771860025,2654.874105,3,0.006,0.13614900000000002,0.009,0.002000186965680669,10,1,95.1,33235.0
GuigsLuke,Guigs,Epic,0,0.32154618201436336,3184.9785769999994,6,0.9352360841433113,0.7222618298772971,1223.814731,2,0.00099,0.046091963,0.002,-0.0009164320126674065,11,1,97.7,3555.0
BetmanJoe,Joe Betman 🇨🇷 🇫🇷,Mythic,2,-0.7720078580428451,1091.966251,8,0.7923377067109768,0.29203639912142415,118.485064,2,0.0045,0.18949900000000003,0.002,-0.00455499966289955,6,2,97.7,14176.0
levithefirst,LΞVI,Epic,0,-0.4596751174203191,544.370795,2,0.8794579305814905,0.6179744200747452,444.802764,0,0.003299,0.058089999999999996,0.0014,-0.0006607794617955967,14,1,3.3,4869.0
SwannyNFT,Prince Swanny👑🪖,Epic,0,-0.014375421125798808,1327.746138,2,0.9558062611658869,0.7139317567450549,1142.623224,0,0.0011999,0.02499,0.0014,4.062070815836268e-05,9,3,25.6,12793.0
smolgeeek,geek,Epic,0,-0.5371597156367725,1816.8088800000003,4,0.8333617251553722,0.5118271290940362,1764.02932,0,0.00476,0.04868699999994,0.0014,-0.0023452864210896846,8,5,70.6,10054.0
0xumutcan,umutcan ✳️,Epic,0,-0.8335130613806674,594.349291,4,0.7952972481677849,0.4545412480121988,381.338579,0,0.0032,0.05459,0.0021,-0.00030938714508589604,6,1,82.4,9808.0
ItsTymo,ItsTymo,Epic,0,-0.07162846920577881,768.547652,3,0.8952039010331431,0.8044444216797157,496.984687,0,0.001,0.07109900000000002,0.00159,-0.00010742173266243245,10,1,69.6,7231.0
flyest,IB 💸,Epic,0,-0.23662217947485215,786.311354,2,0.8190793529303796,0.9169481018135416,746.318788,0,0.001289,0.13294000000000006,0.0016,-6.376409650646831e-05,16,11,6.9,6773.0
itskkoma,itskkoma,Legendary,1,0.9648759007924312,6350.098981,8,0.9549850926044233,0.8797651443267585,2165.006375,1,0.00399,0.04920000000000001,0.0022,-0.003248893419233361,8,1,64.7,9993.0
crazino87,Crazino.eth,Epic,0,-0.08481358257263824,2408.4479229999997,5,0.8591009776291589,0.7009233570104186,1650.523563,1,0.0015,0.06702444,0.00489,0.0012824271269734607,7,4,97.4,5211.0
LaraTheRudeDuck,Lara (Trader arc),Epic,0,-1.2324529756799463,58.004391999999996,1,0.5556410685405164,0.9221171694133801,47.766664,0,0.0019,0.0556279,0.0018,-0.0006467833914758555,9,4,63.7,3394.0
Idedj,Ide,Mythic,2,-0.5354812394787245,1173.185582,7,0.8277984074071718,0.4206490644814439,315.635677,4,,0.07508999000000001,0.0075,-0.0012572356979417586,4,3,97.7,7151.0
austiinxbt,awestin.eth,Epic,0,0.4933385328502156,2941.50676,5,0.945643217689522,0.882686323154406,2061.92968,0,0.00104,0.05659299999999999,0.0024,0.00023507799203162355,11,1,96.2,6404.0
zaddyfi,Zaddy,Legendary,1,0.7473514255147529,6592.2744619999985,8,0.9657081656152806,0.6808674228087572,2045.110814,2,0.004,0.1375,0.007,-0.006486693854305671,7,1,97.2,24983.0
swankyjohnx,Swanky,Mythic,2,1.0891794996843454,5524.978795000001,21,0.89615735845993,0.5495739250773024,552.698968,5,0.011,0.13995000000000002,0.009,0.00716895474307567,8,1,98.5,14759.0
RiddlerNFT,RIDDLΞR,Mythic,2,0.26823833686666176,3765.4685810000005,12,0.8671335500792283,0.5375330369928025,2143.392675,1,0.0073,0.048688999999999996,0.00299,7.60837977856956e-05,6,6,97.4,35779.0
amit0xic,t0xic 🧪,Legendary,1,0.7624200252350201,6050.593609000001,8,0.9482893388203586,0.7641078691347721,2654.633174,1,0.0034,0.08350999999999999,0.0042,0.004598770669958793,9,1,74.4,17877.0
bunya_eth,Bunya🏀Vibunya Arc,Epic,0,-0.30227575919619937,695.918591,3,0.8750524919378129,0.688970720212278,467.813774,0,0.01,0.05184999799999,0.008,0.004131699759122396,10,2,93.1,17282.0
OODEGEN,哟,Mythic,2,0.6797415408685473,3283.661323,19,0.8388913539988871,0.6058020417268576,,1,0.00479,0.0726261,0.0016,4.449683207220218e-05,8,1,7.9,1303.0
anytwocardzz,cardzz,Legendary,1,0.5599133528113959,3710.4760070000007,4,0.9909746573813827,0.825239706410032,1799.127418,0,0.0011,0.069649,0.0025,-0.0010073448093951586,11,2,92.8,17114.0
zubic_eth,zubic,Legendary,1,0.4607110753533549,4009.009603,2,0.9902049384283005,0.8322445360974016,3426.789147,0,0.0055,0.2061,0.01,0.0024523874376869465,8,1,90.0,30855.0
johnjassper,JASSP3R ♞,Mythic,2,1.110118904271731,6682.138954999999,16,0.9405156224413515,0.6279926719931033,2072.995144,3,0.0016,0.067159,0.00299,-0.0008074542051621613,15,1,90.5,8034.0
Jampzey,Jampzey,Legendary,1,0.7843285265439864,6416.895484000001,8,0.9852413633191611,0.6693738370470751,3657.020491,1,0.0055,0.504398999,0.009899999,-0.013498429087046753,13,1,97.7,117919.0
MagicMikeEditss,MagicMike (dream/acc) bearishaf,Mythic,2,0.29503351071846645,7062.020332000001,11,0.8824893191033891,0.3879062273140251,1612.201617,2,0.0089,0.23837999999999998,0.008,0.004994891356653948,18,2,99.7,6026.0
Gyokeres_eth,Gyo,Mythic,2,0.6468373145889421,5666.837775000001,8,0.9744234638323999,0.6358554259850047,2192.919747,2,0.0053,0.07618999998999999,0.00648999999,-0.00027828744937685295,5,5,99.0,17029.0
TimHaldorsson,Tim Haldorsson,Legendary,1,1.3428903144845137,10822.504989000001,8,0.9907535564858483,0.8266208639111587,3074.095434,1,0.006,0.202068,0.01,-0.002397978341925046,13,1,99.5,31494.0
R3birth,R3birth,Mythic,2,0.4707745996522881,3324.9662660000004,14,0.8943530324730509,0.5488242215117511,730.840575,2,0.013,0.127162,0.005,-0.0016365910210345822,8,1,98.7,7617.0
MtroX207,MtroX.,Mythic,2,0.12583906660900274,4215.648673,14,0.828572594262682,0.409779283262735,1436.644614,1,0.00396,0.052429989989999995,0.004,-0.0016004909424399665,9,2,97.7,16344.0
joxiecoxie,JoxieCoxie🧦💜 (authentic chaos arc),Mythic,2,0.14348634076172057,2898.8640160000004,5,0.9425226529133838,0.6363183830041667,760.110602,2,0.002,0.09580000000000001,0.007,0.00906710232157897,10,1,90.0,7361.0
jgonzalezferrer,Javi🥥.eth,Legendary,1,0.20752328962999655,4213.401935000001,5,0.8957431581248313,0.7272367231152412,2867.82134,0,0.0049,0.082099,0.0069,-0.0014236635203470494,7,7,98.2,63195.0
AInvestor_11,AInvestor,Legendary,1,0.9018306275093031,4777.708035,6,0.9871983130328609,0.933348101375279,2134.067119,0,0.0039,0.10624800000000002,0.0056,-0.0020611758478242983,4,1,86.2,15145.0
emilios_eth,emilios.eth,Legendary,1,0.5305946804058382,3144.634665,3,0.995198409569591,0.8709687799016012,1677.778997,0,0.0054,0.15865,0.01,-0.0005026880056934055,7,1,41.7,8783.0
xeetdotai,xeet,Legendary,1,-1.4051928799614821,50.16262849305449,1,0.8789984852534973,0.0,,0,0.02,0.78739699999,0.04,-0.01812671656182098,8,1,46.8,95855.0
J0xhen,Jochen,Epic,0,-0.987055787129089,0.0,0,,,,0,0.002198,0.0432479,0.0011999,-0.0002855577446508872,6,1,43.5,305.0
LittleBladed,LittleBladed,Epic,0,-0.987055787129089,0.0,0,,,,0,0.001197,0.035349,0.0014,-0.0015479251937638083,7,1,15.6,97.0
scottybmitch,Scotty,Legendary,1,-0.3640050313714802,1097.212016,5,0.8451866545601023,0.6015713626149319,79.842427,1,0.07,0.422599999,0.02,0.008389425777616064,10,4,97.4,16421.0
