rank,xHandle,displayName,tier,compositeScore,dim_performance,dim_market,dim_engagement,dim_reach,totalXeetsExclXeetsgiving,competitiveTournamentCount,avgDifficultyAdjustedPercentile,signalRatioAvg,multiplierBreadth,cryptoCreatorRank,cryptoCreatorXeets,osFloorCommon,osFloorRare,ethSaleVolume,highestSaleCommon,highestSaleRare,priceTrajectory,rarityPremiumRatio,saleVelocity30d,ownCardsHeld,deckReachScore,followers,nicheDiversity,bestRank,totalSupply,uniqueCollectors,collectorDensity
50,RiddlerNFT,RIDDLΞR,Legendary,69.21408379251831,66.32248132444983,51.78520398675315,88.47284692052133,80.29480587963879,3765.4685810000005,12,0.8671335500792283,0.5375330369928025,1,376.0,2143.392675,0.0073,0.02899,0.048688999999999996,0.00299,0.007,7.60837977856956e-05,3.9712328767123286,6,6,97.4,35779.0,5,55.0,84,75,0.8929
51,huseyin1tekin,Sennin,Legendary,69.14084207999343,67.43630123157683,73.92427168168896,67.91250029040727,67.35169072572671,3088.2768980000005,3,0.9920012381790193,0.8412217701702515,0,1957.0,1278.704912,0.0039499,nan,0.09988799999999999,0.0069,0.0133,0.0005867087740915133,nan,13,1,99.2,44231.0,3,22.0,93,88,0.9462
52,beausecurity,Beau,Legendary,69.11964038242107,67.00817686250757,65.96887923818078,89.28796784610738,53.110375057675824,4782.8622110000015,3,0.9544659895866099,0.6085817446851656,1,103.0,4451.614239,0.0054,0.015,0.11181,0.008,0.025,-0.006325899920435066,2.7777777777777777,10,4,95.7,30693.0,2,103.0,89,79,0.8876
53,CryptoUsopp,Usopp,Legendary,68.70054048769268,75.98929941449626,53.037015910815796,63.175109773946986,82.73696526267221,4061.1876240000006,6,0.9569482646827724,0.9096808419924177,0,286.0,2331.259736,0.0059,0.025,0.053099999999999994,0.0059,0.01,-0.0017318314430076385,4.237288135593221,8,1,83.4,46794.0,5,3.0,77,67,0.8701
54,johnjassper,JASSP3R ♞,Legendary,68.66693527665612,83.53280839895014,50.53917517858919,65.27696721882768,63.75749785775493,6682.138954999999,16,0.9405156224413515,0.6279926719931033,3,449.0,2072.995144,0.0016,0.012,0.067159,0.00299,0.00579,-0.0008074542051621613,7.5,15,1,90.5,8034.0,7,16.0,87,80,0.9195
55,TheAntAcademy,The Ant Academy 🎓,Legendary,67.88183924935842,74.18700787401575,57.73916079935948,81.45800130102455,49.870970931382246,3830.786279,8,0.904703061649304,0.8282718842635274,1,777.0,1769.655455,0.002999,0.01199999999999,0.0648789,0.005,0.0069,-0.0009997921128373087,4.001333777922641,13,2,98.0,12022.0,3,8.0,95,90,0.9474
56,KierianV,Kierian,Legendary,67.80306619564789,72.73314153038561,61.276132491410365,82.61595962177358,45.78389690857557,4925.318668999999,5,0.937505031393766,0.8667772273221444,0,495.0,2023.548888,0.00489,0.019,0.06215999999996,0.00668,0.019,-0.00073587984529858,3.8854805725971366,10,2,97.4,17808.0,2,18.0,90,86,0.9556
57,man_versus_coin,Man Versus Coin,Legendary,67.75228665253259,70.27225923682616,62.32933253794486,83.61464698092604,48.92080284753806,5551.622647,10,0.8740791212585665,0.44281823502664236,5,2296.0,1206.782114,0.0075,nan,0.086549,0.01,0.0069,-0.001597285330255681,nan,5,6,99.2,3109.0,6,7.0,95,83,0.8737
58,thegaboeth,THΞGABO🍌,Legendary,67.75063096803677,54.309357964869776,85.02832026774716,77.26818530306903,62.10780436358842,1857.317012,2,0.9770714088980086,0.8297032670199667,0,1326.0,1479.997606,0.0169,0.01989999999,0.603086,0.014,0.05,0.003361723504371226,1.1775147923076925,7,4,93.1,91444.0,2,1046.0,77,68,0.8831
59,Rakermoon,Moonraker,Legendary,67.52692929385456,76.18635170603675,52.718683112274384,64.99019585066097,72.49785775492717,4918.837946,16,0.888902688614467,0.7035209409682021,3,2637.0,1141.842843,0.003999,nan,0.05757,0.001999,0.009,-0.00025038165635436576,nan,12,1,98.7,11818.0,7,13.0,86,81,0.9419
60,zubic_eth,zubic,Legendary,67.50549858033752,64.53679588128408,79.45715627749567,69.20327347071533,53.238909762046006,4009.009603,2,0.9902049384283005,0.8322445360974016,0,148.0,3426.789147,0.0055,0.07,0.2061,0.01,0.055,0.0024523874376869465,12.727272727272728,8,1,90.0,30855.0,2,148.0,103,95,0.9223
61,zaimiri,zaimiri ✏️,Legendary,67.47666823957215,69.21290127195638,62.575381977436784,57.14317078270567,84.7935205325951,3563.4945850000004,7,0.9066747463792907,0.6604445466996859,1,585.0,1931.970317,0.007,nan,0.06059999999999001,0.005,0.008,0.0015808543562642367,nan,6,1,77.0,55712.0,5,38.0,85,82,0.9647
62,CryptoGorilla,Gorilla,Legendary,67.14490061560842,67.42862911366848,79.84464226619853,52.93817229282345,64.16435963351131,7907.520313,4,0.9019324129839936,0.8055376441430393,0,24.0,7389.636118,0.01,0.029,0.319,0.007,0.039,0.006722695336973909,2.9,6,1,32.2,167380.0,2,24.0,81,61,0.7531
63,Crypto_Zh0u,Zh0u,Legendary,67.07450455509448,78.8536240662225,45.10002256978379,72.02610761331691,65.68551842330763,6261.868103999999,4,0.9981941766558853,0.9093048156585379,0,436.0,2080.949545,0.00379,0.15,0.047274000000000004,0.004,0.01,-0.0015108375276933436,39.577836411609496,9,2,78.5,8932.0,7,8.0,85,76,0.8941
64,heycape_,Cape 👊,Legendary,67.0388472333553,69.31940238239451,59.928231480941115,69.58895755407383,69.4082459956496,4128.702056,4,0.9539312636037345,0.8015473643422226,0,225.0,2623.224437,0.004,0.0149,0.07950000000000002,0.003,0.014,-0.0010176396919637076,3.725,12,1,93.6,52959.0,3,20.0,83,79,0.9518
65,Defi_Scribbler,Scribbler,Legendary,67.03784955720494,70.9486169997981,62.9195478041511,58.37391678089353,75.02488300046141,3154.6955349999994,7,0.9453956352735409,0.5835451215151206,1,4110.0,934.346514,0.006,nan,0.06307,0.007,nan,0.0014721114690826906,nan,4,1,96.4,22853.0,5,17.0,84,80,0.9524
66,AInvestor_11,AInvestor,Legendary,66.41540426497633,80.54179285281649,53.53914205246066,63.774249006807146,53.727012062487645,4777.708035,6,0.9871983130328609,0.933348101375279,0,385.0,2134.067119,0.0039,0.012,0.10624800000000002,0.0056,0.01,-0.0020611758478242983,3.076923076923077,4,1,86.2,15145.0,3,15.0,83,73,0.8795
67,Aurelius_1988,Aurelius 🐐,Legendary,66.3589184181791,74.9492731677771,65.13240595152774,58.96988476639639,55.347538066047065,6277.349549999999,9,0.8776466302686323,0.741780528850824,2,2226.0,1219.348767,0.00478,0.006949999,0.08980770000000002,0.0069,0.008,-0.0010760900068367881,1.4539746861924685,10,1,93.1,6316.0,6,7.0,94,81,0.8617
68,WithEsibe,Esibe,Legendary,66.32662046436644,69.65414900060568,76.89297467632602,55.66194270845433,54.06219102234526,2612.2762049999997,7,0.9197670796288407,0.7907245782991728,1,13116.0,395.765358,0.009799999,0.0219,0.16453689999999,0.0069,0.012,-0.0030719337001959817,2.234694105581031,24,2,84.7,5859.0,6,12.0,105,92,0.8762
69,flb_xyz,FLB,Legendary,66.22164098302272,83.70139309509388,57.23930063722832,35.60707896754408,75.39895194779514,5561.807204000001,10,0.9404844197333828,0.7648000227278275,3,510.0,2010.483282,0.00299,0.06,0.06523989999999,0.0095,0.0065,-0.0022418488787965822,20.06688963210702,12,1,0.3,17714.0,6,29.0,88,74,0.8409
70,R3birth,R3birth,Legendary,66.19707027586793,69.68857258227337,67.9530440299317,59.23438189717259,63.243359040274214,3324.9662660000004,14,0.8943530324730509,0.5488242215117511,2,6400.0,730.840575,0.013,nan,0.127162,0.005,0.01,-0.0016365910210345822,nan,8,1,98.7,7617.0,7,7.0,99,88,0.8889
71,KaruptKP,KaruptKP,Legendary,66.06276865047587,68.35296789824349,70.32150013471798,65.44859210556886,53.67658690923472,4531.182775,9,0.8543483809726666,0.5937336272763046,2,2093.0,1247.128637,0.003,0.008,0.12160000000000001,0.0035,0.01,0.001003956185668417,2.6666666666666665,13,1,98.5,5747.0,6,15.0,83,76,0.9157
72,NDIDI_GRAM,HEADBOY 🦇🔊,Legendary,65.85369194911408,64.18231374924288,62.613696366357686,66.33888204818437,75.06377298793751,6435.718614000001,3,0.9181544030696193,0.7760459159203585,0,45.0,6259.611627,0.0015,0.0088,0.10350999999999999,0.00326,0.019,0.0005022477437166853,5.866666666666667,18,1,81.1,198557.0,3,45.0,87,80,0.9195
73,Meta_ZET,ZET 💪❤️,Legendary,65.6776791374859,50.69321623258631,82.9953793875167,77.94604232976326,60.415595544130255,1662.0667640000001,7,0.8315779470932938,0.511025499903014,1,5845.0,770.486609,0.00798,0.025,0.10249089999999998,0.00797,0.0069,0.004274242819976112,3.132832080200502,13,6,99.2,6842.0,7,21.0,83,73,0.8795
74,craigscoinpurse,craigscoinpurse,Legendary,65.1854957166917,57.72016959418534,65.89774854390762,75.68947912552562,69.9006327862369,1811.2875999999999,3,0.9589257099905196,0.8615206949027353,0,2565.0,1155.483975,0.00788,nan,0.12549999999999997,0.03,0.04,-0.004440609707725707,nan,6,3,95.9,24909.0,4,273.0,77,68,0.8831
75,MtroX207,MtroX.,Legendary,64.83344429660339,64.35826771653542,47.40698838116536,78.25171921102154,77.25364181662383,4215.648673,14,0.828572594262682,0.409779283262735,1,1445.0,1436.644614,0.00396,0.007,0.052429989989999995,0.004,0.0055,-0.0016004909424399665,1.7676767676767677,9,2,97.7,16344.0,7,50.0,77,71,0.9221
76,gomtu_xyz,Gomtu,Legendary,64.72823106857076,75.26801938219262,50.56623797882284,69.79486211462957,53.46994265374728,5361.84219,4,0.9947347422023443,0.781433931738681,0,239.0,2544.458474,0.003,0.0077,0.05991899999999999,0.0029,0.0115,-0.0009468653716632672,2.566666666666667,11,1,94.4,14859.0,3,12.0,82,77,0.939
77,xerocooleth,xero 🎮,Legendary,64.67598618464116,66.99576014536646,61.278082685845185,59.52960992495876,71.01492980027685,4936.621420999999,7,0.9125399911329913,0.5689195953768493,0,221.0,2633.644668,0.0068,0.025,0.10288300000000003,0.005,0.015,-0.00317624620958274,3.6764705882352944,8,1,70.6,71170.0,3,25.0,65,59,0.9077
