rank,xHandle,displayName,tier,compositeScore,dim_performance,dim_market,dim_ecosystem,dim_reach,totalXeetsExclXeetsgiving,competitiveTournamentCount,avgDifficultyAdjustedPercentile,signalRatioAvg,osFloorCommon,ethSaleVolume,highestSaleCommon,deckReachScore,followers
11,Gyokeres_eth,Gyo,Mythic,78.5761659934158,78.49712295578438,61.32446856324621,94.38721743372908,73.49822028870872,5666.837775000001,8,0.9744234638323999,0.6358554259850047,0.0053,0.07618999998999999,0.00648999999,99.0,17029.0
12,Cryptowithkhan,Crypto with Khan ( SFZ ),Mythic,77.89723024116496,81.38224308499898,62.98047727886742,79.96737274353553,79.38560411311053,8950.941226,15,0.9704448991260751,0.6312227084562705,0.0088,0.47913900000000004,0.0055,93.6,77892.0
13,camolNFT,camol,Mythic,77.1408130292532,76.29567938623056,78.7596682020256,76.02926627635931,78.97973106584932,9697.200521,9,0.9400746697537208,0.7730801628285259,0.01469,0.42688,0.01,94.4,70161.0
14,mariannehere,Marianne,Mythic,76.65201607995473,80.37833131435494,58.67304679100256,92.17232476825501,64.46262606288313,10217.690975,6,0.9917261668958535,0.8239006608996823,,0.32146,0.011,98.7,42517.0
15,CryptoVonDoom,VonDoom ☕️,Mythic,76.58882349824809,80.98450434080354,76.98993939889823,71.93269230769232,72.41160767253312,9597.036074999998,15,0.9574562146676823,0.767392979429687,0.007,0.5312,0.011,80.8,195157.0
16,pukerrainbrow,Pukerainbow 🤮🌈,Mythic,76.35727583845674,82.55930749040985,80.86532725042714,65.47431831734158,72.46737195965987,10908.644021000002,10,0.9619446594269968,0.7457094949947091,0.01,0.33856,0.0099,89.3,80176.0
17,ProofOfTravis,Travis 💡,Mythic,76.32346574717252,69.15732889158085,81.23129595753431,81.39526752317451,81.85890844374134,9104.352432999998,14,0.9161196175748472,0.6619988960282901,0.006,0.13614900000000002,0.009,95.1,33235.0
18,greenytrades,Greeny,Mythic,76.17128456696132,88.4850090854028,92.73104207095659,36.36896243291593,83.66531540438996,16454.923690999996,10,0.9750245760297958,0.8200683563039626,0.0148999999,0.6239,0.02,0.3,43093.0
19,TheCryptoProfes,The Crypto Professor,Mythic,75.64038381169257,84.45310922673127,45.21351032266216,86.01738087493904,68.02026893415068,7410.195874,11,0.9784166248738504,0.7214230151977497,0.0075,0.06476899999990998,0.0021,96.9,18895.0
20,zaddyfi,Zaddy,Mythic,75.55569307193824,76.3071623258631,59.53168071318956,83.44993088307044,76.91724342495552,6592.2744619999985,6,0.9921876185484689,0.72838946576361,0.004,0.1375,0.007,97.2,24983.0
21,johnjassper,JASSP3R ♞,Mythic,75.516996222217,81.53669493236423,50.67379056320457,82.83928281021306,73.08740359897172,6682.138954999999,14,0.9775241832186135,0.6191329633354069,0.0016,0.067159,0.00299,90.5,8034.0
22,walsxbt,Wals,Mythic,75.3902546875874,69.91293155663234,73.01147593043721,80.77111454437038,82.48872849515523,10510.243000000002,10,0.9276585334514778,0.6319874742174816,0.0244,0.73479,0.018,98.2,30025.0
23,Pons_ETH,Pons Asinorum,Mythic,75.22619349477584,86.51675752069454,87.44168053192008,35.514243508429566,88.02313624678662,17922.477654000002,16,0.9667316467979767,0.7773316466664454,0.037,0.7630899999999999,0.0455,22.3,72345.0
24,shivst3r,Shiv,Mythic,75.11442911668506,78.02089642640824,68.73516632726162,69.42662763592998,80.3362665612023,11707.695404999997,5,0.9882931123853274,0.8140609443913513,0.00599,0.133,0.006,87.5,51585.0
25,Hydraze420,Hydraze 🏴‍☠️,Mythic,74.85247508571507,80.38486775691499,73.51368621277375,68.21489266547407,71.87176191417836,7324.343032999999,10,0.9658802967691809,0.6840656777739207,0.007,0.3593,0.009,75.7,131460.0
26,swankyjohnx,Swanky,Legendary,74.21567252552828,63.24550777306683,83.14516574485756,84.55488019732206,78.66580976863753,5524.978795000001,19,0.8987338332467701,0.5799295590341453,0.011,0.13995000000000002,0.009,98.5,14759.0
27,banditxbt,banditxbt,Legendary,74.11118911219313,70.40960024227742,66.82873980737322,83.80589662275709,76.1974490804825,7567.15563,7,0.9607202676452713,0.7345393195139954,0.0098999999999,0.44339,0.03,98.7,46197.0
28,lokithebird,LoKi 😈,Legendary,73.6506195676756,66.95124167171412,83.96844781792376,84.91182848159593,67.03055171050029,7865.045496,7,0.9231571624505374,0.896331766114387,0.0119,0.32220000000000004,0.01,99.2,48666.0
29,Tma_420,T.M.A,Legendary,73.64606480017898,80.56957904300424,73.79532059220722,68.96962243183175,64.372651769824,10636.278895000001,6,0.9838416257656261,0.9056550220900252,0.0074,0.29929899,0.01,91.8,48895.0
30,R2D2zen,R2D2,Legendary,73.49823279225812,64.7916414294367,84.18353079870406,87.39335664335665,67.78870872058532,4658.106921,4,0.9970365742610928,0.7690086077639873,0.006,0.24177,0.007,98.2,14063.0
31,MagicMikeEditss,MagicMike (dream/acc) bearishaf,Legendary,73.48034239310158,58.36008479709267,90.03519783511923,93.13992112538627,70.20822622107968,7062.020332000001,9,0.8982866432276495,0.4643833012769435,0.0089,0.23837999999999998,0.008,99.7,6026.0
32,FogoNPC,Fogo,Legendary,73.41455276485436,64.50383605895418,71.65107772253457,88.06956415677347,76.59640102827763,8624.315318,9,0.9151467614889955,0.6056531551069352,0.0071,0.09845339999999,0.005,98.2,10060.0
33,RajPatel,Raj,Legendary,72.96026994353147,76.70452251160913,66.6423503527912,74.66209275220903,67.87868301364445,7811.977293999999,9,0.9470944960182391,0.7652123765870955,0.0099,0.06419,0.01,96.7,10248.0
34,Deebs_DeFi,Deebs DeFi 🛰,Legendary,72.8757341646201,79.00035332121946,67.03076850601659,70.55298964601292,67.06891437611232,5046.065181000001,8,0.969917219613045,0.7074389724427301,0.008,0.12447899999999998,0.0039,94.6,53028.0
35,tdkimber,💎tdk💎,Legendary,72.47484087240431,70.05627902281446,61.28176079826594,89.7228614408847,66.11340715839431,5278.356318000001,11,0.9151760832484687,0.7774027931694637,0.00699,0.14419300000000002,0.003,98.7,5255.0
36,BR4ted,₿🧞‍♂️,Legendary,72.26639176225473,70.19473046638402,96.56457562194988,66.94636661787825,64.51127150484477,6233.59416,7,0.9477750033960435,0.8544005829747962,0.03,0.4978999999999999,0.029,80.3,52404.0
37,MadMaxx_eth,"MadMaxx (∎, ∆)",Legendary,72.17460879877399,65.67459115687461,57.60113605708132,89.35239469832494,77.00029661854855,6211.078045999998,8,0.9292550183977157,0.5985532459077918,0.003,0.09286,0.0096,98.0,13559.0
38,oxtochi,tochi,Legendary,72.12993688482638,74.50620835857056,70.24106634046692,69.98092508266929,71.02778327071385,8734.066121000002,7,0.9764016769010775,0.7339316017215387,0.0033,0.12140000000000004,0.005,87.7,71394.0
39,amit0xic,t0xic 🧪,Legendary,71.81407518794505,75.26120533010297,66.40654033821595,70.12089364124249,70.57791180541822,6050.593609000001,8,0.9482893388203586,0.7641078691347721,0.0034,0.08350999999999999,0.0042,74.4,17877.0
40,pawnie_,Pawnie,Legendary,71.53978476837823,59.05738946093277,85.20158277068514,80.5573670515531,77.13624678663238,4860.41186,15,0.881673059521716,0.5850135017438423,0.02299959999,0.10762999999999999,0.023,96.7,12168.0
41,Rakermoon,Moonraker,Legendary,71.45050650671196,66.74666868564506,52.103298496889764,87.87022280045537,76.95629820051414,4918.837946,13,0.9125184825117032,0.7129113045226482,0.003999,0.05757,0.001999,98.7,11818.0
42,FFVV1211,FFV,Legendary,71.04963127853097,77.66883706844337,70.08321157452842,57.85464438662113,73.0483488234131,7461.451865999999,5,0.984639341807814,0.8819187952121486,0.00399,0.10758999999999999,0.005,74.4,70731.0
43,HarrietPJones,🜲 Harriet,Legendary,69.99726953486935,61.92996668685645,79.76805379063863,84.1107903724183,63.37996836068815,12746.335169999998,6,0.9336493650656758,0.6942114542912399,0.0169,0.22929999999999998,0.015,94.9,6814.0
44,Senti__23,Senti 🪄,Legendary,69.82718740306593,61.50772259236826,70.33753523538276,87.87581314034803,66.15938303341902,4566.7375090000005,5,0.9520464193806571,0.7232096304143054,0.03,0.11810000000000001,0.005,98.7,2728.0
45,icobeast,IcoBeast.eth🦇🔊,Legendary,69.73987494451809,76.80844942459115,71.17586141332416,52.66317016317017,73.45708918331026,10629.545276,5,0.9880563691755292,0.7830132982129524,0.0199,2.14892999998998,0.06,65.2,68934.0
46,Carlitoswa_y,Carlitosway,Legendary,69.1070882542881,61.58540278619018,67.79825505890986,91.21302244267362,60.4624283171841,3683.9719950000003,5,0.9561028116720738,0.7001441625087994,0.005,0.32539,0.01,99.0,31206.0
47,Aurelius_1988,Aurelius 🐐,Legendary,68.99292048865235,66.23553906723197,62.74779056691236,78.96196536022119,68.00286731263594,6277.349549999999,6,0.9325149104741789,0.8816653793487251,0.00478,0.08980770000000002,0.0069,93.1,6316.0
48,dazzlercoin,bewise,Legendary,68.78660389267158,83.77902281445589,34.163160381695256,57.93662926221066,75.74757761518687,5997.257856,9,0.9706102726112277,0.7975428720168456,0.00369,0.027500000000000004,0.0016,77.2,21049.0
49,man_versus_coin,Man Versus Coin,Legendary,68.53467458950419,61.01983646274985,62.6177940764064,89.63000081314037,64.49386988333004,5551.622647,8,0.916152337858747,0.5504556701672538,0.0075,0.086549,0.01,99.2,3109.0
50,KaruptKP,KaruptKP,Legendary,67.71006740337822,57.48811326468807,70.59073090394875,85.80771263620103,66.20338145145342,4531.182775,6,0.935391876183106,0.6268569083995713,0.003,0.12160000000000001,0.0035,98.5,5747.0
51,Xeer,Xeer,Legendary,67.53995566862358,57.6246719160105,82.03688046103419,75.85218463706836,67.93029464109155,9249.175916000002,4,0.9465272415015799,0.8059755457956053,0.019,0.6877999999800001,0.01889999999,95.1,62037.0
52,AInvestor_11,AInvestor,Legendary,67.48327809774007,79.38166262870988,53.71221897553758,58.49485011112919,63.161657108957876,4777.708035,6,0.9871983130328609,0.933348101375279,0.0039,0.10624800000000002,0.0056,86.2,15145.0
53,R3birth,R3birth,Legendary,67.33139600108514,57.11614173228347,68.66458249147017,82.2230850544804,70.65809768637533,3324.9662660000004,13,0.8992561699788273,0.5545681243993447,0.013,0.127162,0.005,98.7,7617.0
54,EricCLFung,EricF,Legendary,67.24028629641143,66.56395114072279,57.913599800250864,64.03678782457852,79.33962823808582,7153.421015999998,17,0.8898720807516957,0.7570730771890639,0.002,0.17859899,0.01,65.7,19829.0
55,KierianV,Kierian,Legendary,67.19231939450563,67.6246719160105,61.8145940298719,77.76036076326776,58.16442554874431,4925.318668999999,4,0.9969895143504326,0.8483876452876181,0.00489,0.06215999999996,0.00668,97.4,17808.0
56,Dashke,Dashke,Legendary,66.84523590559596,65.32556026650515,38.05531612909698,83.90722068629046,72.0077120822622,3549.0020910000007,9,0.948499311577768,0.48560610719276365,0.003,0.042255,0.003885,98.5,9664.0
57,huseyin1tekin,Sennin,Legendary,66.71589994114856,61.48637189582071,74.19350245091972,79.33020951916303,57.58325093929207,3088.2768980000005,3,0.9920012381790193,0.8412217701702515,0.0039499,0.09988799999999999,0.0069,99.2,44231.0
58,CryptoUsopp,Usopp,Legendary,66.68851814687142,70.44298909751667,53.748554372354256,66.41855721797583,68.81955704963417,4061.1876240000006,6,0.9569482646827724,0.9096808419924177,0.0059,0.053099999999999994,0.0059,83.4,46794.0
59,viiibe,viiibe,Legendary,66.52421347132673,69.84198970321017,57.54135858039059,67.64988209464954,64.99950563575241,3127.2212310000004,6,0.9805750236442385,0.7392740388895856,0.005,0.113,0.0032,85.2,18637.0
60,itskkoma,itskkoma,Legendary,66.2699801315223,81.41707046234605,38.50175019631473,56.57273540413076,66.43909432469843,6350.098981,8,0.9549850926044233,0.8797651443267585,0.00399,0.04920000000000001,0.0022,64.7,9993.0
61,jgonzalezferrer,Javi🥥.eth,Legendary,66.05374004212037,58.5719765798506,59.6516082392988,81.79928985742941,68.45965987739767,4213.401935000001,4,0.9754689909460825,0.704023909041161,0.0049,0.082099,0.0069,98.2,63195.0
62,0xTJustin,JuStin (Creator arc),Legendary,66.00480478255015,74.58636180092871,46.71383838842246,60.277152111454434,69.03856041131104,5588.554934,12,0.9537328115979609,0.6557425191960733,0.0019,0.044988,0.003,86.7,5506.0
63,zaimiri,zaimiri ✏️,Legendary,65.70086584760406,65.09350393700788,62.998458900513704,66.79935761912508,67.73986553292465,3563.4945850000004,6,0.9613121239973569,0.7014294048814026,0.007,0.06059999999999001,0.005,77.0,55712.0
64,Crypto_Zh0u,Zh0u,Legendary,65.48219550463662,70.2170401776701,45.77309949286071,62.294106087710745,73.98714652956298,6261.868103999999,4,0.9981941766558853,0.9093048156585379,0.00379,0.047274000000000004,0.004,78.5,8932.0
65,RiddlerNFT,RIDDLΞR,Legendary,65.46334810193166,62.34580052493438,52.20828090983007,76.80418902802624,68.9095313426933,3765.4685810000005,8,0.9202958326806947,0.6207282425277902,0.0073,0.048688999999999996,0.00299,97.4,35779.0
66,Defi_Scribbler,Scribbler,Legendary,65.43411999199665,57.765445184736514,63.09262472722802,78.17746788095626,68.63960846351591,3154.6955349999994,7,0.9453956352735409,0.5835451215151206,0.006,0.06307,0.007,96.4,22853.0
67,GuigsLuke,Guigs,Legendary,65.32077627319701,74.49939430648092,29.51464323408934,83.3342413400553,52.1847933557445,3184.9785769999994,5,0.9892090526594352,0.8649251763906479,0.00099,0.046091963,0.002,97.7,3555.0
68,TheAntAcademy,The Ant Academy 🎓,Legendary,65.30437965238474,60.68185947910358,58.008391568590255,82.55767197918361,60.64237690330234,3830.786279,7,0.9255975621075533,0.8039303133652235,0.002999,0.0648789,0.005,98.0,12022.0
69,Febers4,Tat Thang,Legendary,65.19713590798466,65.40536038764385,49.25684058619554,72.84519840624493,67.91981411904291,4857.190696,7,0.9571292813967691,0.7119740628738204,0.00299,0.056784799799989995,0.0025,85.9,8406.0
70,maskjiro,MaskJiro🫎,Legendary,64.98089999926266,67.66194730466384,42.65386614281668,74.28730281346562,65.3936128139213,4329.384423,6,0.954097779262189,0.8279843436510306,0.00249,0.0584397,0.0014,95.7,5146.0
71,gomtu_xyz,Gomtu,Legendary,64.8129725562734,65.93397940642035,49.77777644036131,72.83382799371174,64.51127150484477,5361.84219,4,0.9947347422023443,0.781433931738681,0.003,0.05991899999999999,0.0029,94.4,14859.0
72,RealDuckMaster,duckmaster.eth,Legendary,64.7217542622566,50.24818291944276,80.49628358103232,79.8401095029002,65.89924856634367,3439.867927,5,0.8836366388712248,0.7289882759375816,0.0148,0.14360000000000003,0.01,98.7,19470.0
73,ripchillpill,Chill Pill 🔮 (Bald),Legendary,64.53373996943762,57.35001514233798,79.21828143199166,70.33006721960211,61.940379671742136,3785.5953759999998,6,0.9349756774814496,0.6086325204523235,0.008,0.35380000000000006,0.015,96.9,98696.0
74,WithEsibe,Esibe,Legendary,64.21298961814315,62.34766807995155,76.81605159940295,58.92088144413726,64.7637927625074,2612.2762049999997,5,0.9639349013496143,0.7219001440863775,0.009799999,0.16453689999999,0.0069,84.7,5859.0
75,flb_xyz,FLB,Legendary,64.19629868591976,77.87855844942459,57.546992944920625,33.039803220035786,76.28050227407553,5561.807204000001,9,0.9589557525657116,0.7422180834948919,0.00299,0.06523989999999,0.0095,0.3,17714.0
76,merheb,merheb (streamer arc),Epic,63.770096152387765,57.091762568140524,67.53133060941984,71.23995771670192,66.38333003757168,2731.31655,7,0.9122044194586242,0.8104245976750554,0.006,0.053200000000000004,0.00689,86.7,7380.0
77,xxCJ78xx,CJ78,Epic,63.333017777339904,55.9375630930749,59.16521529032852,78.6246950723695,64.4038955902709,2919.0983020000012,8,0.9246285796927347,0.5496569143616179,0.0085,0.0421,0.009,96.4,5156.0
78,SHADOW_NFT15,SHΔDOW,Epic,62.96682928045524,71.61773167777105,48.70197877003467,51.07642841654471,69.17253312240459,2626.343667,6,0.971963598706707,0.912027742521072,0.0017,0.086447,0.0024,64.5,26649.0
79,anytwocardzz,cardzz,Epic,62.899222726393,64.7387441954371,41.414023627861205,70.47403371821977,66.43909432469843,3710.4760070000007,4,0.9909746573813827,0.825239706410032,0.0011,0.069649,0.0025,92.8,17114.0
80,heycape_,Cape 👊,Epic,62.84020815248059,61.18877448011306,60.23592378863342,70.24785873041688,59.74263397271109,4128.702056,3,0.9906673702306646,0.7933296126363585,0.004,0.07950000000000002,0.003,93.6,52959.0
81,DonPudgy,Don,Epic,62.621288324434204,60.40066626287099,51.30493973926635,73.204599663902,63.60104805220487,2728.842265,5,0.9396169159659864,0.8306167493732775,0.00447,0.059849,0.0018,95.1,7293.0
82,diegoarmandoAD,DIEGO,Epic,62.522199649517226,63.55966081162932,27.772972016984355,84.22072694747115,61.45214554083448,3511.474361,5,0.973410024878031,0.6617145534187874,0.00149,0.045777000000000005,0.001999,97.2,18843.0
83,Rempo1,Rempo,Epic,62.347030954781474,63.9700686452655,41.92264364350683,62.26868189949585,74.34704370179948,4043.5915400000004,13,0.9235373912424438,0.5924491702342052,0.00489999,0.036377980000000004,0.00144899,72.9,10632.0
84,parcifap,Parci,Epic,62.24216982100637,72.88582677165354,40.68415441934988,58.33486474765545,60.55240261024322,3506.486642,5,0.9827556702797595,0.8426479638984385,0.001599,0.107079,0.0015,80.6,25962.0
85,GMB_AOB,GMB,Epic,62.20876364450651,44.077831617201696,73.795642891206,89.7936249796715,59.870970931382246,3334.7914390000005,5,0.8820241369094729,0.45792386896791326,0.008998,0.30448999,0.00929,98.5,6434.0
86,BawsaXBT,BAWSA,Epic,61.82966082293363,65.63431253785586,51.404179572585015,59.897097088957565,63.881451453430884,4929.004436,7,0.9534918047251838,0.7239313446812146,0.005,0.07310000000000001,0.005,58.6,32829.0
87,MtroX207,MtroX.,Epic,61.462316729921326,50.779073288915804,48.08006530424228,76.77304575269693,76.32647814910025,4215.648673,13,0.8341406892537964,0.4402278988841143,0.00396,0.052429989989999995,0.004,97.7,16344.0
88,MedusaOnchain,Medusa,Epic,61.44346502176573,56.24793054714314,76.80508045439124,71.82242370033069,48.897073363654336,2028.1267910000001,3,0.9863416261555488,0.826864753084568,0.0119999999,0.335004,0.016,94.4,11296.0
89,beausecurity,Beau,Epic,61.30808879497834,49.2465172622653,65.12272539202694,84.36176614083593,57.26468261815305,4782.8622110000015,3,0.9544659895866099,0.6085817446851656,0.0054,0.11181,0.008,95.7,30693.0
90,m00des,andrazmode,Epic,61.01235292886357,61.63310115081767,38.6595929191808,69.31685368894672,66.92317579592644,2892.594936,5,0.9484700498739731,0.8085667476452558,0.002,0.0702693,0.002,95.1,8145.0
91,zubic_eth,zubic,Epic,60.89187510992813,50.62439430648091,80.16869473903414,72.17939231311325,55.015325291674905,4009.009603,2,0.9902049384283005,0.8322445360974016,0.0055,0.2061,0.01,90.0,30855.0
92,anda765,Anda ☀️,Epic,60.689137957956895,61.32586311326469,43.3152266146111,66.60990947037459,65.57356140003955,3063.2252959999996,4,0.989080686882212,0.7909745934765484,0.004,0.06109,0.0025,88.0,5924.0
93,Meta_ZET,ZET 💪❤️,Epic,60.556694914335196,37.83525136281042,82.47614861828595,84.68031387217435,64.08997429305913,1662.0667640000001,5,0.8866766583981439,0.5213858121318266,0.00798,0.10249089999999998,0.00797,99.2,6842.0
94,quan_eth,Quan,Epic,59.97340371760832,61.587447001817075,35.505247538875736,63.413481866970244,70.97894008305319,3858.1409209999997,6,0.9595455586779033,0.600121848539562,0.00169999999999,0.0426,0.003,76.2,23622.0
95,austiinxbt,awestin.eth,Epic,59.55136936203709,61.64768826973551,41.9395785559242,71.81549167886378,54.25420209610441,2941.50676,4,0.9810230942768511,0.854681459859021,0.00104,0.05659299999999999,0.0024,96.2,6404.0
96,craigscoinpurse,craigscoinpurse,Epic,59.15888964687768,50.83949121744398,66.32082546698454,69.99966796769124,58.79127941467273,1811.2875999999999,3,0.9589257099905196,0.8615206949027353,0.00788,0.12549999999999997,0.03,95.9,24909.0
97,Bellerophontis2,NancyNik,Epic,58.704715099024355,59.96047849788006,29.80470760881966,77.95584647910229,55.603816491991296,2402.677713,5,0.9549100803793034,0.7474997430371417,0.00159,0.0405299,0.0027,96.7,10212.0
98,vikktorrrre,Veee,Epic,58.082381693685406,68.11508176862506,47.05634780300624,47.822789613487295,57.081767846549326,3027.5311789999996,5,0.9615939724710483,0.8648700905479249,0.00399,0.050749,0.002,73.7,4689.0
99,edoweb3,edo,Epic,57.82652987379209,61.342418736119534,50.37028065013337,66.302644061365,46.28781886493969,2860.1914420000003,4,0.9878496685720173,0.8165403450084902,0.0025,0.07568889999992001,0.00258,90.8,5141.0
100,katexbt,katexbt.hl,Epic,57.79957658062991,68.34544720371493,49.83211395373033,43.655526643898746,57.89450266956693,4992.853061,4,0.9895040450478657,0.9293613251088306,0.004999999,0.096699,0.004,44.2,29110.0
101,CrypSaf,SafZ,Epic,57.749487964848534,48.3270997375328,67.03331989911892,71.74787905892559,54.475479533320154,3806.6135839999997,2,0.9873535867910856,0.7929244884450859,0.018,0.10559900000000003,0.008,91.0,32693.0
102,0xxNathan,Nathan,Epic,57.50083009655509,52.52291540480517,55.03623904772006,71.45492492004121,53.755685188847146,3295.817879,3,0.9698387836657294,0.7500189377251026,0.00269,0.10432699999999999,0.003,93.6,24547.0
103,Crypto3Rain,Rain,Epic,57.30266759876834,51.451544518473646,41.210054169577106,73.08389575540738,63.51107375914574,2304.854964,5,0.9255438315593514,0.6681116839353004,0.002949,0.028109,0.0028,95.9,9553.0
104,jade_defi,Jade 💋,Epic,57.21103993607214,48.620028265697556,58.97346348383785,80.0744429988616,47.637433260826576,1854.614397,4,0.9479619409656319,0.7962507337790223,0.005,0.07963,0.005,93.1,20148.0
105,crazino87,Crazino.eth,Epic,56.94132624420854,46.426231576822126,51.02314092265604,76.32386702444843,61.17174213960846,2408.4479229999997,2,0.9859011053653736,0.8664061074930672,0.0015,0.06702444,0.00489,97.4,5211.0
106,0xleegenz,le.hl,Epic,56.91591614030617,48.85746012517666,72.16111020717298,59.77849379302868,59.1128139212972,3087.778813,4,0.9061108354886336,0.8772691468365335,0.0045,0.08928999999998,0.005,78.0,13279.0
107,CryptoGorilla,Gorilla,Epic,56.87165573651905,59.31314354936402,80.26771918927547,39.86452404184963,53.75568518884714,7907.520313,3,0.9727064207751949,0.7719841739834553,0.01,0.319,0.007,32.2,167380.0
108,Kaiz_294,Kaiz,Epic,56.84901244722424,59.547319806178066,50.819466920780734,54.243291592128806,58.7013051216136,2094.025076,6,0.9549967934778208,0.7349975598635622,0.0048,0.073729,0.003,60.1,9670.0
109,SALAMANDER12_,SALAMANDER,Epic,56.69215136572576,67.84615384615385,75.2381230876518,20.715556730091617,60.73235119636148,3568.632461,5,0.9733541790921322,0.7784847012006926,0.004,0.14728999999999998,0.02,9.2,16713.0
110,thegaboeth,THΞGABO🍌,Epic,56.593679943091615,43.45692004845547,85.72062796005486,70.47008998753185,46.377793157998816,1857.317012,2,0.9770714088980086,0.8297032670199667,0.0169,0.603086,0.014,93.1,91444.0
111,adamagb,Untamed Adam 🐺,Epic,56.372717115022276,46.31147789218655,51.20773708425114,71.6718978695723,63.78099663832312,2324.724215,5,0.8798018477563238,0.7424312201285745,0.0016,0.07431699999989999,0.004,92.6,9305.0
112,ilodiwow,ilodi wow,Epic,56.33214666038298,55.70664243892591,47.30339367167388,69.5150159917602,49.256970535890844,2901.500194,4,0.9771964281379015,0.655327342403095,0.0055,0.048967000000000004,0.0055,91.8,91992.0
113,joxiecoxie,JoxieCoxie🧦💜 (authentic chaos arc),Epic,56.010757101638035,45.5366444579043,68.0620827872708,73.15069523499757,49.25697053589084,2898.8640160000004,4,0.9572117577001713,0.5611235103012735,0.002,0.09580000000000001,0.007,90.0,7361.0
114,0xkekov,kekov,Epic,55.932168711718525,56.39652735715728,61.590789932169265,59.70195695777091,46.377793157998816,3282.926963,3,0.9711293176988303,0.8040276641184573,0.0038,0.077963,0.004,85.4,5044.0
115,whemohere,whemo,Epic,55.890974914728375,62.314506359781944,29.679989641223088,55.33916083916085,62.69438402214752,2494.0333350000005,5,0.9861550706884694,0.5849378600088965,0.003,0.05331199999999999,0.0015,72.6,1204.0
116,AtnsXBT,AtnsMDX,Epic,55.882020857497686,59.298606904906116,40.928613058417795,62.4178253916626,52.40607079296026,2891.137815,3,0.987946592029357,0.8310332112587141,0.0017,0.05281199999998001,0.0025,91.0,12376.0
117,emilios_eth,emilios.eth,Epic,55.83348380405385,63.01554613365637,70.05111617489932,38.30412804250014,50.24668775954123,3144.634665,3,0.995198409569591,0.8709687799016012,0.0054,0.15865,0.01,41.7,8783.0
118,kaitoxbt,Kaito,Epic,55.753219338247504,52.58590753078942,56.444368734505744,52.7755258307584,65.31055962032826,2191.236198,3,0.9744931658412538,0.7599416301544263,0.0049,0.06771899999994001,0.0023,61.4,12059.0
119,Jackkk,Jack,Epic,55.68795008609717,47.24732485362407,66.43951630146125,66.23903615764081,53.21583943049239,3447.765191,3,0.9477186034933552,0.6527821617409307,0.0068,0.7386299999998801,0.0052,86.2,33261.0
120,0xmani,MANI,Epic,55.25210112952028,62.723601857460125,34.38319504109752,63.38027863609259,45.8662250346055,2834.928376,3,0.9940833646902313,0.9112802652686222,0.00148989,0.06536899999994,0.0015,82.4,10891.0
